Route_start|Route_end|Reference_time|Interval(days)|Area_size|Duration(s)|Number_of_records
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.1|0.688321113586|50
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.1|0.381350040436|52
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.1|0.658950090408|44
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.1|0.331601858139|38
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.1|0.673372983932|40
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.1|0.674180030823|30
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.1|0.704664945602|57
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.1|0.405089139938|62
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.1|0.658694028854|40
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.1|0.333046197891|41
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.1|0.675421953201|40
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.1|0.670158863068|34
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.1|0.633495092392|287
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.1|0.384493112564|266
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.1|0.578722000122|219
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.1|0.361433982849|260
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.1|0.595445871353|198
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.1|0.629716873169|254
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.1|0.57540512085|83
