Route_start|Route_end|Reference_time|Interval(days)|Area_size|Max_samples|Duration(s)|Number_of_records
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.36054992676|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.2461669445|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.73229002953|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|1.19030690193|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.87901496887|1000
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|2.04252099991|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.58594799042|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.24216389656|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.63339185715|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|1.114331007|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.7519929409|1000
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|1.60857200623|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.12041187286|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|0.925098896027|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.08645200729|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|0.807919979095|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.21876907349|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|1.34118294716|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.14759612083|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.02722096443|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.32198500633|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|0.960601806641|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.29908394814|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|1.2311809063|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.13359904289|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|0.979584932327|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.21815800667|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|0.923251867294|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.33326101303|1000
